host_since,first_review,neighbourhood_cleansed
2009-09-08,2011-05-20,ΑΜΠΕΛΟΚΗΠΟΙ
2009-09-08,2012-09-06,ΑΜΠΕΛΟΚΗΠΟΙ
2009-09-08,2012-09-24,ΑΜΠΕΛΟΚΗΠΟΙ
2009-09-08,2010-07-08,ΑΜΠΕΛΟΚΗΠΟΙ
2009-09-08,2012-09-21,ΑΜΠΕΛΟΚΗΠΟΙ
2010-05-09,2012-05-21,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2010-05-28,,ΚΕΡΑΜΕΙΚΟΣ
2010-06-17,2010-11-02,ΑΓΙΟΣ ΝΙΚΟΛΑΟΣ
2010-09-06,2011-08-28,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2010-10-08,2014-08-10,ΣΤΑΔΙΟ
2010-11-14,2010-12-11,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2010-11-18,2015-05-27,1Ο ΝΕΚΡΟΤΑΦΕΙΟ
2011-03-11,2011-04-17,ΑΚΑΔΗΜΙΑ ΠΛΑΤΩΝΟΣ
2011-03-09,2013-03-04,ΝΕΟΣ ΚΟΣΜΟΣ
2011-03-20,2012-01-03,ΓΟΥΒΑ
2011-03-28,,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2011-05-12,2011-07-08,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2011-05-19,2011-07-09,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2011-05-29,2012-05-17,ΝΕΑ ΚΥΨΕΛΗ
2011-05-29,2011-06-22,ΝΕΑ ΚΥΨΕΛΗ
2011-06-07,2011-10-05,ΠΑΓΚΡΑΤΙ
2011-06-14,2012-10-08,ΣΤΑΔΙΟ
2011-06-15,2011-08-25,ΚΟΛΩΝΑΚΙ
2011-06-25,2011-07-14,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2011-06-17,2014-06-16,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2011-06-01,2011-10-05,ΣΤΑΔΙΟ
2011-07-09,,ΠΑΤΗΣΙΑ
2011-07-24,2012-05-09,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2011-07-28,,ΓΚΑΖΙ
2011-07-24,2011-11-16,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2011-06-23,2014-02-14,ΓΚΑΖΙ
2011-06-27,2012-05-15,1Ο ΝΕΚΡΟΤΑΦΕΙΟ
2011-10-08,2012-10-09,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2011-05-16,2013-05-23,ΑΝΩ ΠΑΤΗΣΙΑ
2011-11-17,2012-08-16,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2011-11-17,2012-06-25,ΚΕΡΑΜΕΙΚΟΣ
2011-11-17,2014-11-04,ΚΕΡΑΜΕΙΚΟΣ
2011-11-05,2011-12-11,ΚΟΛΩΝΑΚΙ
2011-12-01,2012-04-06,ΝΕΟΣ ΚΟΣΜΟΣ
2011-05-29,2012-04-16,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2011-12-04,2014-04-18,ΚΟΛΩΝΑΚΙ
2012-01-06,2012-10-22,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-01-09,2015-06-04,ΜΟΥΣΕΙΟ-ΕΞΑΡΧΕΙΑ-ΝΕΑΠΟΛΗ
2011-11-03,2012-03-21,ΚΕΡΑΜΕΙΚΟΣ
2012-02-28,2013-08-14,ΠΛΑΤΕΙΑ ΑΜΕΡΙΚΗΣ
2012-02-28,2012-05-09,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2011-06-26,2012-05-20,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2012-03-30,2012-05-25,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2011-08-09,2012-06-11,ΑΜΠΕΛΟΚΗΠΟΙ
2012-04-05,2012-06-17,ΙΛΙΣΙΑ
2012-04-20,2012-06-29,ΠΛΑΤΕΙΑ ΑΤΤΙΚΗΣ
2012-04-26,2012-09-18,ΑΓΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ-ΠΛΑΤΕΙΑ ΒΑΘΗΣ
2011-05-29,2013-06-23,ΝΕΑ ΚΥΨΕΛΗ
2012-05-04,2012-05-27,ΘΗΣΕΙΟ
2012-05-04,2013-03-11,ΘΗΣΕΙΟ
2012-02-28,2012-09-29,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-05-14,2015-06-12,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2011-02-24,2012-06-28,ΠΕΔΙΟ ΑΡΕΩΣ
2012-05-14,2012-06-10,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-02-01,2012-10-01,ΠΕΤΡΑΛΩΝΑ
2011-11-17,2014-05-05,ΚΕΡΑΜΕΙΚΟΣ
2011-11-17,2014-07-20,ΚΕΡΑΜΕΙΚΟΣ
2012-05-14,2016-11-13,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-05-25,2012-10-08,ΑΚΡΟΠΟΛΗ
2011-11-17,2012-11-08,ΚΕΡΑΜΕΙΚΟΣ
2011-11-17,2015-06-15,ΚΕΡΑΜΕΙΚΟΣ
2011-11-17,2013-05-19,ΚΕΡΑΜΕΙΚΟΣ
2011-11-17,2012-11-15,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2011-11-17,2012-09-22,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-06-29,2014-07-05,ΠΕΤΡΑΛΩΝΑ
2012-07-02,2013-05-08,ΠΑΓΚΡΑΤΙ
2012-07-03,2012-10-08,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
2012-07-02,2015-04-26,ΠΑΓΚΡΑΤΙ
2012-07-09,2015-05-05,ΘΗΣΕΙΟ
2012-06-11,2012-08-02,ΠΡΟΜΠΟΝΑ
2012-07-31,2013-12-29,ΝΕΟΣ ΚΟΣΜΟΣ
2012-08-02,2013-02-17,ΚΟΥΚΑΚΙ-ΜΑΚΡΥΓΙΑΝΝΗ
2012-08-09,,ΕΜΠΟΡΙΚΟ ΤΡΙΓΩΝΟ-ΠΛΑΚΑ
